A/Niger/6436/2019	2019-01-14	h3n2_flu	Africa	Niger	Human	EPI_ISL_362388	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6433/2019	2019-01-09	h3n2_flu	Africa	Niger	Human	EPI_ISL_362389	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Mali/32/2019	2019-01-31	h3n2_flu	Africa	Mali	Human	EPI_ISL_362390	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Niger/6432/2019	2019-01-09	h3n2_flu	Africa	Niger	Human	EPI_ISL_362391	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6551/2019	2019-02-05	h3n2_flu	Africa	Niger	Human	EPI_ISL_362393	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Mali/41/2019	2019-02-05	h3n2_flu	Africa	Mali	Human	EPI_ISL_362394	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Congo/12/2019	2019-01-21	h3n2_flu	Africa	DRC	Human	EPI_ISL_362395	Centers for Disease Control and Prevention	INRB Service de Virologie
A/Congo/27/2019	2019-01-28	h3n2_flu	Africa	DRC	Human	EPI_ISL_362396	Centers for Disease Control and Prevention	INRB Service de Virologie
A/South_Africa/R06864/2019	2019-06-10	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376956	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R06338/2019	2019-06-04	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376957	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R05878/2019	2019-05-23	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376958	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R06415/2019	2019-06-04	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376959	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R05117/2019	2019-05-13	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376960	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R03989/2019	2019-04-12	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376961	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/Mauritania/10-2019/2019	2019-01-08	h3n2_flu	Africa	Mauritania	Human	EPI_ISL_377337	Crick Worldwide Influenza Centre	INRSP-Institut National de Recherches en Sante Publique
A/Mauritania/253-2018/2018	2018-12-11	h3n2_flu	Africa	Mauritania	Human	EPI_ISL_377338	Crick Worldwide Influenza Centre	INRSP-Institut National de Recherches en Sante Publique
A/Mauritania/255-2018/2018	2018-12-10	h3n2_flu	Africa	Mauritania	Human	EPI_ISL_377339	Crick Worldwide Influenza Centre	INRSP-Institut National de Recherches en Sante Publique
A/Burkina_Faso/31/2019	2019-02-19	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_377673	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/15/2019	2019-02-19	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_377674	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/1/2019	2019-02-19	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_377675	Centers for Disease Control and Prevention	IRSS
A/Mozambique/75/2019	2019-01-23	h3n2_flu	Africa	Mozambique	Human	EPI_ISL_377865	Centers for Disease Control and Prevention	Laboratório de Isolamento Viral
A/Mozambique/97/2019	2019-01-20	h3n2_flu	Africa	Mozambique	Human	EPI_ISL_377866	Centers for Disease Control and Prevention	Laboratório de Isolamento Viral
A/Mali/31/2019	2019-01-31	h3n2_flu	Africa	Mali	Human	EPI_ISL_377868	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Madagascar/145/2019	2019-01-07	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377899	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/889/2019	2019-02-04	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377900	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/617/2019	2019-01-23	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377901	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/224/2019	2019-01-09	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377902	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/657/2019	2019-03-16	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377903	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/326/2019	2019-02-26	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377904	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Togo/189/2019	2019-02-06	h3n2_flu	Africa	Togo	Human	EPI_ISL_386837	Centers for Disease Control and Prevention	Institute National D'Hygiene
A/Togo/195/2019	2019-02-09	h3n2_flu	Africa	Togo	Human	EPI_ISL_386853	Centers for Disease Control and Prevention	Institute National D'Hygiene
A/Togo/269/2019	2019-02-18	h3n2_flu	Africa	Togo	Human	EPI_ISL_386855	Centers for Disease Control and Prevention	Institute National D'Hygiene
A/Togo/202/2019	2019-02-10	h3n2_flu	Africa	Togo	Human	EPI_ISL_386858	Centers for Disease Control and Prevention	Institute National D'Hygiene
A/Mali/030/2019	2019-02-13	h3n2_flu	Africa	Mali	Human	EPI_ISL_393566	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/047/2019	2019-02-18	h3n2_flu	Africa	Mali	Human	EPI_ISL_393567	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/032/2019	2019-02-25	h3n2_flu	Africa	Mali	Human	EPI_ISL_393568	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/033/2019	2019-02-25	h3n2_flu	Africa	Mali	Human	EPI_ISL_393569	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Cote_D-Ivoire/648/2019	2019-04-17	h3n2_flu	Africa	Cote d'Ivoire	Human	EPI_ISL_393570	Centers for Disease Control and Prevention	Pasteur Institut of Côte d'Ivoire
A/Mali/052/2019	2019-02-27	h3n2_flu	Africa	Mali	Human	EPI_ISL_393571	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/028/2019	2019-02-28	h3n2_flu	Africa	Mali	Human	EPI_ISL_393572	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/077/2019	2019-03-03	h3n2_flu	Africa	Mali	Human	EPI_ISL_393574	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/054/2019	2019-03-04	h3n2_flu	Africa	Mali	Human	EPI_ISL_393575	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/048/2019	2019-03-04	h3n2_flu	Africa	Mali	Human	EPI_ISL_393576	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/049/2019	2019-03-04	h3n2_flu	Africa	Mali	Human	EPI_ISL_393577	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/046/2019	2019-03-04	h3n2_flu	Africa	Mali	Human	EPI_ISL_393579	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/9054/2019	2019-03-18	h3n2_flu	Africa	Mali	Human	EPI_ISL_393580	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/066/2019	2019-03-14	h3n2_flu	Africa	Mali	Human	EPI_ISL_393581	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/061/2019	2019-03-13	h3n2_flu	Africa	Mali	Human	EPI_ISL_393582	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/9043/2019	2019-03-16	h3n2_flu	Africa	Mali	Human	EPI_ISL_393583	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/051/2019	2019-02-27	h3n2_flu	Africa	Mali	Human	EPI_ISL_393584	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/064/2019	2019-03-12	h3n2_flu	Africa	Mali	Human	EPI_ISL_393588	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/037/2019	2019-02-27	h3n2_flu	Africa	Mali	Human	EPI_ISL_393595	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/9064/2019	2019-02-20	h3n2_flu	Africa	Mali	Human	EPI_ISL_393596	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/9049/2019	2019-02-19	h3n2_flu	Africa	Mali	Human	EPI_ISL_393598	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/016/2019	2019-03-06	h3n2_flu	Africa	Mali	Human	EPI_ISL_393603	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/039/2019	2019-02-27	h3n2_flu	Africa	Mali	Human	EPI_ISL_393604	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Togo/634/2019	2019-05-20	h3n2_flu	Africa	Togo	Human	EPI_ISL_393757	Centers for Disease Control and Prevention	Institute National D'Hygiene
A/Togo/638/2019	2019-05-20	h3n2_flu	Africa	Togo	Human	EPI_ISL_393758	Centers for Disease Control and Prevention	Institute National D'Hygiene
A/Togo/645/2019	2019-05-22	h3n2_flu	Africa	Togo	Human	EPI_ISL_393759	Centers for Disease Control and Prevention	Institute National D'Hygiene
A/Kenya/131/2019	2019-06-19	h3n2_flu	Africa	Kenya	Human	EPI_ISL_393761	Centers for Disease Control and Prevention	CDC-Kenya
A/Togo/717/2019	2019-06-21	h3n2_flu	Africa	Togo	Human	EPI_ISL_393780	Centers for Disease Control and Prevention	Institute National D'Hygiene
A/Kenya/130/2019	2019-07-03	h3n2_flu	Africa	Kenya	Human	EPI_ISL_393781	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/132/2019	2019-06-03	h3n2_flu	Africa	Kenya	Human	EPI_ISL_393782	Centers for Disease Control and Prevention	CDC-Kenya
A/Antsirabe/2643/2019	2019-04-23	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_393970	Crick Worldwide Influenza Centre	Institut Pasteur de Madagascar
A/Antsirabe/3036/2019	2019-05-06	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_393971	Crick Worldwide Influenza Centre	Institut Pasteur de Madagascar
A/Cote_d-Ivoire/1287/2019	2019-07-14	h3n2_flu	Africa	Cote d'Ivoire	Human	EPI_ISL_393978	Crick Worldwide Influenza Centre	Pasteur Institut of Côte d'Ivoire
A/Dakar/01/2019	2019-01-21	h3n2_flu	Africa	Senegal	Human	EPI_ISL_393979	Crick Worldwide Influenza Centre	Institut Pasteur de Dakar  
A/Dakar/02/2019	2019-01-21	h3n2_flu	Africa	Senegal	Human	EPI_ISL_393980	Crick Worldwide Influenza Centre	Institut Pasteur de Dakar  
A/Dakar/03/2019	2019-01-29	h3n2_flu	Africa	Senegal	Human	EPI_ISL_393981	Crick Worldwide Influenza Centre	Institut Pasteur de Dakar  
A/Dakar/04/2019	2019-02-11	h3n2_flu	Africa	Senegal	Human	EPI_ISL_393982	Crick Worldwide Influenza Centre	Institut Pasteur de Dakar  
A/Dakar/06/2019	2019-02-11	h3n2_flu	Africa	Senegal	Human	EPI_ISL_393983	Crick Worldwide Influenza Centre	Institut Pasteur de Dakar  
A/Dakar/08/2019	2019-04-23	h3n2_flu	Africa	Senegal	Human	EPI_ISL_393984	Crick Worldwide Influenza Centre	Institut Pasteur de Dakar  
A/Dakar/10/2019	2019-05-24	h3n2_flu	Africa	Senegal	Human	EPI_ISL_393985	Crick Worldwide Influenza Centre	Institut Pasteur de Dakar  
