strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Chicken/Argentina/1200-1/2023	2023-03-27	avian_flu	South America	Argentina	Avian	EPI_ISL_18698506	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1147-2/2023	2023-03-21	avian_flu	South America	Argentina	Avian	EPI_ISL_18698505	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/1035-1/2023	2023-03-16	avian_flu	South America	Argentina	Avian	EPI_ISL_18698504	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/919-3/2023	2023-03-13	avian_flu	South America	Argentina	Avian	EPI_ISL_18698502	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/858-1/2023	2023-03-08	avian_flu	South America	Argentina	Avian	EPI_ISL_18698499	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/736-1/2023	2023-03-03	avian_flu	South America	Argentina	Avian	EPI_ISL_18698494	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/606-1/2023	2023-02-27	avian_flu	South America	Argentina	Avian	EPI_ISL_18698492	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/588-4/2023	2023-02-24	avian_flu	South America	Argentina	Avian	EPI_ISL_18698490	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/578-2/2023	2023-02-23	avian_flu	South America	Argentina	Avian	EPI_ISL_18698482	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/559-8/2023	2023-02-22	avian_flu	South America	Argentina	Avian	EPI_ISL_18698480	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/556-6/2023	2023-02-23	avian_flu	South America	Argentina	Avian	EPI_ISL_18698478	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/509-2/2023	2023-02-21	avian_flu	South America	Argentina	Avian	EPI_ISL_18698476	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/506-2/2023	2023-02-20	avian_flu	South America	Argentina	Avian	EPI_ISL_18698474	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/501-1/2023	2023-02-20	avian_flu	South America	Argentina	Avian	EPI_ISL_18698471	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/491-2/2023	2023-02-20	avian_flu	South America	Argentina	Avian	EPI_ISL_18698469	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/485-6/2023	2023-02-19	avian_flu	South America	Argentina	Avian	EPI_ISL_18698466	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/481-2/2023	2023-02-18	avian_flu	South America	Argentina	Avian	EPI_ISL_18698464	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/477-5/2023	2023-02-18	avian_flu	South America	Argentina	Avian	EPI_ISL_18698462	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Chicken/Argentina/464-4/2023	2023-02-16	avian_flu	South America	Argentina	Avian	EPI_ISL_18698460	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/backyard_chicken/Uruguay/UDELAR-040-M7/2023	2023-03-03	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310967	?	?
A/backyard_chicken/Uruguay/UDELAR-047-M1/2023	2023-03-06	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310966	?	?
A/backyard_chicken/Uruguay/UDELAR-047-M3/2023	2023-03-06	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310965	?	?
A/backyard_chicken/Uruguay/UDELAR-124-M1/2023	2023-04-16	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310964	?	?
A/backyard_chicken/Uruguay/UDELAR-127-M1/2023	2023-04-17	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310963	?	?
A/backyard_chicken/Uruguay/UDELAR-127-M4/2023	2023-04-17	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310962	?	?
A/backyard_chicken/Uruguay/UDELAR-144-M3/2023	2023-05-03	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310961	?	?
A/backyard_chicken/Uruguay/UDELAR-040-M5/2023	2023-03-03	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310942	?	?
A/chicken/Araucania/239189-2/2023	2023-02-28	avian_flu	South America	Chile	Avian	EPI_ISL_17885958	?	?
A/chicken/Araucania/239569-1/2023	2023-03-02	avian_flu	South America	Chile	Avian	EPI_ISL_17885954	?	?
A/chicken/Araucania/239569-2/2023	2023-03-02	avian_flu	South America	Chile	Avian	EPI_ISL_17885952	?	?
A/chicken/Araucania/240481-1/2023	2023-03-07	avian_flu	South America	Chile	Avian	EPI_ISL_17885949	?	?
A/chicken/Araucania/241892-2/2023	2023-03-14	avian_flu	South America	Chile	Avian	EPI_ISL_17885946	?	?
A/chicken/Araucania/241914-1/2023	2023-03-14	avian_flu	South America	Chile	Avian	EPI_ISL_17885945	?	?
A/chicken/Nuble/239136/2023	2023-02-27	avian_flu	South America	Chile	Avian	EPI_ISL_17885878	?	?
A/chicken/Nuble/240155/2023	2023-03-06	avian_flu	South America	Chile	Avian	EPI_ISL_17885877	?	?
A/chicken/Nuble/240684/2023	2023-03-08	avian_flu	South America	Chile	Avian	EPI_ISL_17885876	?	?
A/chicken/Nuble/241557-1/2023	2023-03-10	avian_flu	South America	Chile	Avian	EPI_ISL_17885874	?	?
