strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Victoria/2195/2023	2023-07-13	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18214664	WHO Collaborating Centre for Reference and Research on Influenza	VIC - Australian Clinical Labs (ACL) - Geelong
A/Victoria/2440/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272440	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Sydney/740/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272441	WHO Collaborating Centre for Reference and Research on Influenza	Clinical Virology Unit, CDIM
A/Victoria/2486/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272538	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Victoria/2487/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272539	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Victoria/2490/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272540	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Victoria/2489/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272541	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Tasmania/320/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272542	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Sydney/753/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272543	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Medical and Veterinary Science (IMVS)
A/Victoria/2063/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272544	WHO Collaborating Centre for Reference and Research on Influenza	Monash Medical Centre
A/Victoria/2058/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272545	WHO Collaborating Centre for Reference and Research on Influenza	Monash Medical Centre
A/Perth/301/2023	2023	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18272546	WHO Collaborating Centre for Reference and Research on Influenza	Pathwest QE II Medical Centre
A/Victoria/2637/2023	2023-09-19	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18484902	WHO Collaborating Centre for Reference and Research on Influenza	Royal Melbourne Hospital
A/Sydney/862/2023	2023-09-16	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18484904	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/863/2023	2023-09-18	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18484905	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/866/2023	2023-09-21	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18484975	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Tasmania/348/2023	2023-09-21	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18484976	WHO Collaborating Centre for Reference and Research on Influenza	Royal Hobart Hospital
A/Sydney/846/2023	2023-09-09	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18484984	WHO Collaborating Centre for Reference and Research on Influenza	Clinical Virology Unit, CDIM
A/Victoria/2345/2023	2023-08-10	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485005	WHO Collaborating Centre for Reference and Research on Influenza	Monash Medical Centre
A/Canberra/214/2023	2023-08-06	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485007	WHO Collaborating Centre for Reference and Research on Influenza	Canberra Hospital
A/Sydney/781/2023	2023-09-09	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485015	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/857/2023	2023-09-13	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485016	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Victoria/2725/2023	2023-10-02	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485017	WHO Collaborating Centre for Reference and Research on Influenza	Royal Chidrens Hospital
A/Sydney/874/2023	2023-10-02	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485020	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/876/2023	2023-10-02	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485021	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/877/2023	2023-10-02	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485022	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
A/Sydney/879/2023	2023-10-03	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18485024	WHO Collaborating Centre for Reference and Research on Influenza	Childrens Hospital Westmead
